date,user_id,sex,age_skin_type,rate,content,product_url
2016.10.8,도스,m,21세 · 지성 ·,bad,중고나라에서 뭘 샀더니 덤으로 샘플 주셨길래 걍 궁금해서 써봤는데 별로인것같으네요..,/product/35304
2017.1.8,지터릐,f,24세 · 건성 ·,worst,컬러가그냥내피부색이랑같음,/product/17531
2019.1.10,웅땡이,m,27세 · 복합성 ·,worst,3년동안 쓰던 제품인데 이번에 새로 주문한 제품이 사용감 최악 수준이길래 전화해서 불량인거 아니냐 했는데 따로 공지도 없이 제조사가 바뀌는 바람에 성분이 싹 바뀌었다더군요 절대 쓰지마세요 얼룩덜룩 발리고 비비바른거 광고하고 다니게 될겁니다.,/product/108199
2019.1.23,왕밤빵,f,33세 · 복합성 ·,best,혹해서 여자지만 써보았음,/product/81820
2017.9.24,자장자장면,m,27세 · 건성 ·,worst,건성임에도 몇시간 지나면 기름이 좔좔흐름...,/product/81820
2017.2.15,피부미남되곱,m,25세 · 복합성 ·,worst,진짜 난여기너무너무실망했다. 솔직히커버는잘되는데 기초케어다잘바르고 이거발랐는데도 흡수도잘안되고 갈라진것처럼뜨고 옷에데이면 다묻어나오고 한3시간정도지나면 화장다지워지네요. 페북광고믿고샀는데 제일비싼돈주고 후회한제품.. 그래서고객센터 전화해서 환불하려고하니까 바르는법가르쳐줄테니까 퍼프사서 그걸로바르라고말만하고 환불도안해주네요. 그래서 누나거빌려서해봤는데 결국엔갈라지고 묻어나오네요.,/product/81820
6개월 전,요정요괴,f,37세 · 건성 ·,good,장점,/product/79087
2018.11.19,카슭,m,23세 · 민감성 ·,bad,저는 프라이머 입문을 이 제품으로 했었고 그전까진 이게 이렇게 안좋은지 몰랐읍니다... 일단 용기자체가 굉장히 불편하고 위생상으로도 쫌 신경쓰이고요 커버력이 딱히 높은것도 아닌데 제형이 쫌 부담되는 제형입니다 지성분들은 이거쓰면 기름난리임 물론 프라이머다보니 아예 안쓴것보단 낫지만 다른제품 쓰는게 훨나아요,/product/79087
2018.7.19,우럭용사,f,21세 · 지성 ·,best,왜이렇게 평이 안좋고 리뷰도 없는지 모르겠어요.,/product/79087
2018.6.28,JeanJin,m,27세 · 복합성 ·,soso,"엠도씨 비비크림과 함께 사용하고 있습니다. 사용시 화장이 골고루 잘발리게 도움을 줘서 좋긴한데 특유의 번들거림이 있더라구요. 약간 얼굴에 기름을 바르는 것 같은 느낌? 음 어떤면으로는 화장시 약간 푸석한 느낌을 제거해주는 것 같기도해서 분명히 호불호가 갈리는 듯 합니다. 가격에 대비해 훌륭한 성능을 내는 것 같지는 않습니다만, 건성피부인 분들은 한 번 사용해봐도 좋을듯!",/product/79087
2018.6.9,이서진1,m,17세 · 건성 ·,bad,커버 효과는 잘모르겠고 이거 사용후 선크림 바르면 좋다 이런식으로 광고하길래 사봤는데 개인적으로 별로 그냥 엠도씨 제품사면 샘플 들어있는거 써보시고 구매하시길,/product/79087
2017.9.24,자장자장면,m,27세 · 건성 ·,soso,모공을 잘 막긴 함,/product/79087
2017.3.7,도리쓰쓰,m,26세 · 지성 ·,bad,이거 여기저기 평도 안좋고 개미똥꼬만큼 있길래,/product/79087
2016.8.1,야망남,m,36세 · 지성 ·,worst,성분단순 깔끔한 실리콘 베이스 모공 프라이머...끝,/product/79087
4개월 전,Hoons_,m,23세 · 지성 ·,bad,색깔은 무난하게 잘 뽑아줘서 좋은데 발림성도 별로 안좋고 기름지고 잘 뜬다는 단점이 있네요,/product/3846
2018.10.9,오다닷,m,17세 · 복합성 ·,good,"무난하게 괜찮은 cc크림? 이에요!! 근데 노란끼가 조금 돌더라고요,, 그리구 제가 피부톤이 하얘서 그런거일 수도 있지만 밝은 피부용으로 나온 것도 조금 어둡게 느껴졌어요ㅠㅠ 저는 개인적으로 색상만 빼면 대부분 만족하고 있어요 !! 피부에 적당히 올려서 물먹인 퍼프로 밀착 시켜준답니다!!! 자연스럽게 커버돼서 좋아요 :>",/product/3846
2018.3.31,빗치걸,m,22세 · 복합성 ·,soso,발림성 좋고 톤도 마음에 든는데 너무 잘 뜸,/product/3846
2018.2.7,지나가던상봉남자,m,29세 · 지성 ·,soso,거의 8년째 이,/product/3846
2017.7.26,글로잉아이,m,29세 · 복합성 ·,bad,저는 어두운타입으로 썻는데,/product/3846
2017.4.1,ASIANABTS,f,19세 · 복합성 ·,worst,장말 극혐이네요^^,/product/3846
2017.3.19,brick,m,28세 · 복합성 ·,good,3년째 쓰고있는 제품입니다. 밝은피부용 쓰고있는데 바르는 양만 잘조절하면 진짜 티안나게 붉은기 커버가 됩니다. 근데 뾰루지 같은 트러블은 거의 커버안되고 톤업 정도의 커버력이고요. 우선 남자니까 티가 안나야하는데 정말 티가 안난다는거에 높은 점수를 주고싶어요. 커버를 바라는 분들은 안쓰시는게 좋고요. 점수하나 뺀이유는 지속력이 약한것같아서 하나 뺐습니다.,/product/3846
2016.11.22,비행기구름,f,25세 · 건성 ·,good,"스무 살 된 남동생 생일선물로 줬었는데,",/product/3846
2016.5.22,rkd2643,m,25세 · 복합성 ·,worst,어두운타입 밝은타입 다 할꺼없이 나 비비크림바르고다닌다고 광고하실꺼면 꼭 사세요.,/product/3846
2016.5.10,Jehad,m,27세 · 복합성 ·,worst,입문용으로 썼으나,/product/3846
2016.4.29,말숙이까미,f,26세 · 복합성 ·,good,남자친구 선물해줌,/product/3846
2016.4.25,불꽃남자,m,33세 · 복합성 ·,worst,다뜨고 안발림ㅠㅠ,/product/3846
2016.4.5,kioo1300,m,29세 · 건성 ·,good,기름끼 빼면 굿굿,/product/3846
2016.3.25,매버릭,m,29세 · 지성 ·,soso,남성 입문용 비비크림 정말 이 표현이 맞는 듯 싶어요. 비비크림에 무지한 저에게 쉽게 다가와 이제는 없어서는 안될 존재가 되었네요. 정말 무난하게 잘 사용할 수 있는 제품 같습니다.,/product/3846
2016.2.29,jjong쫑,m,32세 · 건성 ·,good,저는 매번 이 제품을 사용하는데,/product/3846
2016.1.28,슉슉쓱쓱,m,26세 · 지성 ·,soso,"안 지우면 무조건 트러블 생기는 독한 놈인데, 그냥 붉은기만 없애고 싶을 때 바르는 놈.",/product/3846
2016.1.25,코주니,m,28세 · 건성 ·,good,저에게 잘 맞는 것 같습니다 ~ 너무 많이 바르지마시고 조금씩 적당히 바르시면 티도 별로 안나고 좋아요~,/product/3846
2015.11.10,피치모찌,f,28세 · 건성 ·,soso,동생주려고샀는데 캡슐이 터지면서 비비가 되는 그런 제형이었음 근데 겁나 어두움 ㅜㅜ 나처럼 동생은 흰둥이임.. 보통 여자애들보다 흼.. 피부과에서도 백인피부라하는데 이거 얼굴에바르니 목보다 얼굴이 훨씬 까맘 ㅋㅋㅋㅋ 지금 군대가서 엄청 탔어도 좀 흰 여자애들 수준인듯. 색깔때매 1점 깎는데 갠차늠.,/product/3846
2015.10.28,미뇽미뇽,f,19세 · 복합성 ·,good,이거 진심 좋아요!! 이거 제가 어쩌다 얻게 되서 써봤는데 한눈에 반한제품♥3♥ 일단 진짜 자연스럽게 하얘..진다기보다는 톤 정리되구요 잡티 가려지고 할꺼 다해줘요! 향이 제가 쓰기에는 별론데 남자가 쓰기에는 또 짱짱일듯!! 티 안나게 커버 잘 해줘요 저는 메이컵 베이스 정도로 쿠션바르기 전에 바르는데 그러면 쿠션도 잘먹습니다!! 아주아주아주 추천b,/product/3846
2015.9.28,221324,f,25세 · 지성 ·,worst,남자친구한테 이딴 거 사주지 마라고 욕만 먹었음. 그런데 산 게 아니라 엄마가 주신거였다고 한다...,/product/3846
2015.9.21,뚝,f,26세 · 복합성 ·,best,호불호가 확실한 제품이네,/product/3846
2015.7.13,포마더,m,28세 · 민감성 ·,best,남자들에게 국민 파데가 되기 충분한 조건을 가지고있는 제품입니다~,/product/3846
2015.5.1,돼지껍,m,25세 · 지성 ·,best,이거 남자가 쓰기엔 진심 좋아요 ㄷㄷㄷ 발림성도 좋고 잘 안뜨고 까먹고 안 닦고 자도 여드름 잘 안나요~,/product/3846
2015.3.17,블링족제비,m,25세 · 건성 ·,worst,ㅎ..... 하아아아아아아아아아아아아아아아아아얗네에에에에에에ㅔ에에. 그전에 토니모리 광채cc크림쓰다가 아무래도 남자꺼 써봐야지해서 썼는데 어떻게 이게 더 하얗죠...?,/product/3846
2014.11.3,K_____,m,24세 · 중성 ·,worst,글로우픽에 이거 없었으면 섭섭할뻔 했네요.. 화장품은 먼저 샘플을 꼭 이용해야 한다는 것을 알려준 정말 은혜로운 아이템이에요,/product/3846
2014.10.27,또기,f,27세 · 건성 ·,best,남자친구왈! 정말 좋다! 그냥 선크림같은데 피부톤 정돈도 해주고 지속력도 다른것들에 비해 젛다!,/product/3846
2018.1.22,mamaguitar,m,32세 · 지성 ·,soso,바른것 같지도 안바른것 같지도 않은 무난하다,/product/93565
2018.4.20,에티하라,m,28세 · 복합성 ·,worst,내 인생 최악의 cc...조금만 발라도 얼굴은 회색으로 떴고 정말 많이 묻어나옴,/product/8408
2017.9.18,방키,m,24세 · 지성 ·,worst,수분감은 하나도없고 유분감잔뜩 각질부각 오지고 지속력도 별로 역대급 최악템 냄새도 꾸림,/product/8408
2015.8.5,큐티섹시앙,f,120세 · 복합성 ·,bad,엄마가 피부톤이 어두우셔서 남자 BB. CC 많이 사용하셨는데 이거 나도 많이 썼다. 바를 때는 답답하고 바르고 나서는 티가 안난다! 신기하다,/product/8408
2015.6.21,슈퍼을,f,29세 · 지성 ·,soso,남치니가 쓰는데,/product/8408
2016.5.22,코롱코룽,f,18세 · 복합성 ·,soso,이거 세일할때 오천원주고 산 비빈데 써본 기억은 별로없고 방금 손등에 발라봤는데 비비맞나 싶을정도로 엄청 촉촉함 순간 당황스러웠음 그리고 색도 윤기가 남,/product/24730
2015.6.21,슈퍼을,f,29세 · 지성 ·,soso,남치니가 그냥 그렇대요,/product/10897
2018.1.7,가악,m,16세 · 민감성 ·,bad,"피부상태 최상, 얼굴에 광이 나고 기름칠 해놓은 것처럼 보일정도로 푹자고 아침에 일어난 상태에서 발랐음에도 다 뜨고.. 영 아니었음..",/product/9146
2017.7.15,리리홍,m,26세 · 지성 ·,good,여자친구가 써보라고 해서 선물 받은 첫 비비크림.,/product/9146
2016.4.6,스니쨩,f,21세 · 건성 ·,good,전남친줄려고삿엇음...ㅎㅎ근데이젠쓸모가없넹?동생이나줘야지~~테스터해봣을때는자연스럽길래 삿음...ㅎ핳,/product/9146
2개월 전,용궁쓰,m,31세 · 복합성 ·,bad,어두운것도 저한테는 밝아요. 커버나 지속력도 잘 모르겠고.,/product/34094
2018.12.23,해태노래방,m,32세 · 복합성 ·,soso,아무리 남성제품이지만 칙칙해보인다. 좀 화사해보이게 리뉴얼했음 좋겟다ㅡ 바르면 오히려 혈색안좋아보여서 안쓰게됨,/product/34094
2018.6.7,김민홍,m,19세 · 복합성 ·,good,2년전에 항상 쓰다가 요즘에 다시 사용하는 제품입니다!! 연예인이 사용해서 구입했다가 톤보정이랑 가볍게 남자가 사용하기에 좋아서 사용하고 있어요!!,/product/34094
2018.3.19,기리님,m,25세 · 지성 ·,soso,좋긴한데 양조절이 어렵고 잘못하면 하얗게,/product/34094
2018.3.6,설탕형,m,27세 · 지성 ·,bad,일단 남자가 주 타겟이긴 하나,/product/34094
2018.1.2,김너귤,f,32세 · 건성 ·,soso,남자친구한테 항상 사주는 제품,/product/34094
2017.12.1,zialli,m,33세 · 건성 ·,bad,다크써클도 안가려지고 퇴근할때 떠있습니다. 각질제거 안하고 이거 바르면 큰일납니다.,/product/34094
2017.11.28,peyi,f,25세 · 건성 ·,good,남자친구가 잘 쓰고 있어요,/product/34094
2017.11.27,지나가던상봉남자,m,29세 · 지성 ·,soso,즈맨 밤 쓰다가 두들기고 싶어서 샀는데 커버력은 쏘쏘 양이 좀 적은듯.. 그리고 아무리 남성디자인 이라고 해도 아직 공중화장실에서 두들기기는 좀 무리가 있는듯요 ㅋㅋ,/product/34094
2017.10.31,sy10224,f,20세 · 복합성 ·,soso,커버력은 좋은데 잘떠요..,/product/34094
2017.10.17,splayer,m,34세 · 복합성 ·,soso,남자 기본템 아니겠음?,/product/34094
2017.8.18,ppclub,f,34세 · 복합성 ·,best,"여자들도 화장 할 때 그렇듯이, '좀 더 바를까?' 할 때 멈추면 자연스러움",/product/34094
2017.7.2,kolkata,m,31세 · 민감성 ·,soso,선물 받아서 중요한 일 있을 때 한번씩 사용하는 제품.,/product/34094
2017.6.19,해피마루,m,36세 · 복합성 ·,best,남자가 구매하는 것이 조금 힘이드나 실제로 써보니 너무 좋긴함. 단 숨어서 발라야한다 ㅡㅡ 눈치가 보이는게 흠,/product/34094
2017.6.15,입생로뢍,m,18세 · 지성 ·,soso,"얼굴이 밝은편에 속해서 그냥 쿠션도 21호 밝게나온건23호까지 써서 좀 어둡다,,근데 남자한테 자연스러울듯!",/product/34094
2017.5.31,MINIGIRL,f,28세 · 민감성 ·,good,색상이 하나뿐인 점이 가장 큰 단점.,/product/34094
2017.4.30,꿀핍되고싶,f,31세 · 복합성 ·,soso,남친 선물해줬는데,/product/34094
2017.4.23,hjty0414,f,26세 · 건성 ·,best,저희남편이정말잘쓰고있는,/product/34094
2017.4.10,smeeeee,f,33세 · 건성 ·,soso,"커버력 보통, 지속력 별로 ㅋㅋ 그냥 급할 때 사용하는 제품 ㅋㅋ",/product/34094
2017.3.27,쿠징,m,27세 · 복합성 ·,soso,*라이트한 코덕 남자,/product/34094
2017.3.24,플레르,f,33세 · 중성 ·,good,처음엔 남편 사줬을 땐 남자가 팩트 두드리는 거에 거부감이 확실히 심했음,/product/34094
2017.3.21,croco99,m,25세 · 복합성 ·,soso,간편해서 좋아요!!,/product/34094
2017.3.13,juhyouk,m,22세 · 지성 ·,bad,글로우픽 보고 샀는데 하루 쓰고 집안에 처박아둔 나의 첫 비비쿠션템... 지금쯤 한달 넘게 안쓰고 처박아놓았다 #낭비이빠이템 인 것을 느끼고 지금은 좋은 걸 쓰고 있다 이게 왜 안좋냐면 회색빛이 꽤 느껴지고 #밝은편 이라서 피부가 상대적으로 어두운 남자한테는 안맞는 화장품인것 같다 그리고 붕뜨는 느낌이 없어야 하는데 이건 그런게 있다 화장한 티가 팍팍나서 별로.. 좋은 점수는 못주고 싶다,/product/34094
2017.3.2,육포군,m,26세 · 지성 ·,best,처음바르고 느낀점 '이걸 왜 이제 샀지?',/product/34094
2017.2.27,립스틱샤또,f,17세 · 건성 ·,good,삼촌이 잘쓰고있는데 여드림가려진다고 좋아한다 별걸다샀네,/product/34094
